Name,Value,Desc,Mfr,Part Number,Footprint,
C9,"1µF/50V","1µF/50V Ceramic Capacitor 0805","Murata","GRM21BR71H105KA12L","C0805",
C63,"1µF/50V","1µF/50V Ceramic Capacitor 0805","Murata","GRM21BR71H105KA12L","C0805",
C64,"1µF/50V","1µF/50V Ceramic Capacitor 0805","Murata","GRM21BR71H105KA12L","C0805",
C1,"10µF/16V","10µF/16V Ceramic Capacitor 0805","Murata","GRM219R61C106KA73D","C0805",
C8,"10µF/16V","10µF/16V Ceramic Capacitor 0805","Murata","GRM219R61C106KA73D","C0805",
C16,"10µF/16V","10µF/16V Ceramic Capacitor 0805","Murata","GRM219R61C106KA73D","C0805",
C43,"10µF/16V","10µF/16V Ceramic Capacitor 0805","Murata","GRM219R61C106KA73D","C0805",
C49,"10µF/16V","10µF/16V Ceramic Capacitor 0805","Murata","GRM219R61C106KA73D","C0805",
C6,"10nF/50V","10nF/50V Ceramic Capacitor 0805","AVX","08055C103KAT2A","0805",
C14,"100µF/35V","100µF 35V Capacitor Hybrid Polymer","Panasonic","EEHZK1V101XP","Panasonic Cap Size D8",
C21,"100µF/35V","100µF 35V Capacitor Hybrid Polymer","Panasonic","EEHZK1V101XP","Panasonic Cap Size D8",
C5,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C7,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C10,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C26,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C27,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C28,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C32,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C36,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C41,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C51,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C54,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C62,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C66,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C67,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C50,"100nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C53,"100nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
