Count,Name,Value,Desc,Mfr,Part Number,Supplier,SPN,Footprint,
5,"C1,C8,C16,C43,C49","10µF/16V","10µF/16V Ceramic Capacitor 0805","Murata","GRM219R61C106KA73D","","FN 1845747","C0805",
17,"C[2-4],C12,C20,C[22-23],C29,C[33-34],C[37-39],C[44-45],C48,C57","220nF/50V","220nF/50V Ceramic Capacitor 0805","Murata","GRM21BR71H224KA01L","","FN 8820139RL","C0805",
14,"C5,C7,C10,C[26-28],C32,C36,C41,C51,C54,C62,C[66-67]","100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","","FN 1686518","NFM21",
1,"C6","10nF/50V","10nF/50V Ceramic Capacitor 0805","AVX","08055C103KAT2A","","FN 499225","0805",
3,"C9,C[63-64]","1µF/50V","1µF/50V Ceramic Capacitor 0805","Murata","GRM21BR71H105KA12L","","FN 1735541RL","C0805",
3,"C11,C[46-47]","100nF/50V","100nF/50V Ceramic Capacitor 0805","MURATA","GCM21BR72A104KA37L","","FN 2470440","0805",
2,"C13,C17","6800pF/250V","Ceramic Capacitor 0805","Kemet","C0805X682JAGACAUTO","Farnell","2471761","0805",
2,"C14,C21","100µF/35V","100µF 35V Capacitor Hybrid Polymer","Panasonic","EEHZK1V101XP","Mouser","667-EEH-ZK1V101XP","Panasonic Cap Size D8",
2,"C15,C31","3900pF/200V","Ceramic Capacitor 0805","Kemet","C0805C392J2GACAUTO","Farnell","2426890","0805",
4,"C[18-19],C[24-25]","100nF/50V","100nF/50V Ceramic Capacitor 0805","AVX","08055C104KAZ2A","","FN 7569564","C0805",
2,"C30,C40","6800pF","Ceramic Capacitor 0805","Kemet","C0805X682JAGACAUTO","Farnell","2471761","0805",
4,"C35,C52,C56,C61","1000µF/16V","1000µF 16V Capacitor Poly Alu Elec","Panasonic","16SEF1000M","Farnell","2759039","PanasonicSizeF13",
1,"C42","470µF/16V","470µF 16V Capacitor Poly Alu Elec","WURTH ELEKTRONIK","875075361005","Farnell","2466616","CAP_SMD_ELEC_10mm",
6,"C50,C53,C55,C[58-60]","100nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","","FN 1686518","NFM21",
