Ref,Part Name,Side,Placement Centre X,Placement Centre Y,Rotation,
"C9","1µF/50V Ceramic 0805",Top,60.36,164.75,90,
"C63","1µF/50V Ceramic 0805",Top,33.10,51.47,90,
"C64","1µF/50V Ceramic 0805",Top,35.11,51.45,90,
"SW1","1MS1T2B4M7RE",Top,66.50,174.99,180,
"J3","8LCM025S-304B-XX",Top,178.82,180.97,0,
"R40","8x1K SMD",Top,233.31,92.73,90,
"R53","8x4K7 SMD",Top,233.41,64.43,90,
"R44","8x470ohm SMD",Top,233.46,84.09,90,
"R52","8x470ohm SMD",Top,233.34,69.11,270,
"C1","10µF/16V Ceramic 0805",Top,230.99,168.70,0,
"C8","10µF/16V Ceramic 0805",Top,227.96,154.67,0,
"C16","10µF/16V Ceramic 0805",Top,223.57,157.99,180,
"C43","10µF/16V Ceramic 0805",Top,239.45,114.69,90,
"C49","10µF/16V Ceramic 0805",Top,239.43,121.02,270,
"C35","16SEF1000M",Top,168.27,130.67,0,
"C52","16SEF1000M",Top,239.35,104.53,180,
"C56","16SEF1000M",Top,62.24,82.08,180,
"C61","16SEF1000M",Top,240.52,67.03,270,
"J8","39-53-2315",Top,153.28,158.48,0,
"U3","74VHC1G14",Top,264.43,166.68,0,
"C18","100nF/50V Ceramic 0805",Top,271.28,152.44,0,
"C19","100nF/50V Ceramic 0805",Top,274.87,152.43,180,
"C24","100nF/50V Ceramic 0805",Top,262.36,147.58,180,
"C25","100nF/50V Ceramic 0805",Top,262.37,149.48,0,
"C11","100nF/100V Ceramic 0805",Top,230.61,164.12,270,
"J4","182-025-113R531",Top,236.12,180.87,0,
"C3","220nF/50V Ceramic 0805",Top,239.03,169.67,0,
"C12","220nF/50V Ceramic 0805",Top,227.33,160.20,180,
"C29","220nF/50V Ceramic 0805",Top,249.52,136.18,90,
"C34","220nF/50V Ceramic 0805",Top,247.17,133.57,0,
"C48","220nF/50V Ceramic 0805",Top,251.48,126.58,180,
"C65","330nF/50V Ceramic 0805",Top,110.99,40.67,180,
"J6","770W-X2/10",Top,12.96,177.61,0,
"C15","3900pF/200V Ceramic 0805",Top,242.27,158.80,0,
"C31","3900pF/200V Ceramic 0805",Top,260.40,135.29,270,
"C13","6800pF/250V Ceramic 0805",Top,245.83,160.84,0,
"C17","6800pF/250V Ceramic 0805",Top,242.33,155.57,180,
"C30","6800pF/250V Ceramic 0805",Top,253.81,135.24,0,
"C40","6800pF/250V Ceramic 0805",Top,248.17,126.38,270,
"U6","8520_CIA",Top,190.51,155.14,270,
"U11","8520_CIA",Top,289.43,141.79,270,
"J21","57102-F08-11ULF",Top,205.91,79.67,180,
"J15","171825-4",Top,273.65,122.17,0,
"J16","171825-4",Top,273.62,116.13,0,
"J19","825433-5",Top,273.58,111.01,0,
"J10","5146897-1",Top,30.85,151.10,90,
"J11","5146897-1",Top,125.85,151.10,90,
"J12","5146897-1",Top,197.19,136.45,180,
"D1","82402374",Top,169.60,168.90,0,
"D2","82402374",Top,181.59,168.86,0,
"D3","82402374",Top,194.68,168.96,0,
"D4","82402374",Top,277.29,168.47,0,
"D5","82402374",Top,281.98,168.40,0,
"D6","82402374",Top,290.34,168.38,0,
"D7","82402374",Top,296.62,168.27,0,
"D8","82402374",Top,301.49,168.29,0,
"F1","696105003002",Top,5.89,150.77,270,
"C42","875075361005",Top,220.51,120.80,90,
"U23","AA_Gayle",Top,92.14,67.83,180,
"U5","AD5142ABRUZ10",Top,234.15,158.28,90,
"U14","ADG888",Top,266.75,130.45,270,
"U29","Alice_8374",Top,90.72,26.24,90,
"U12","ATMEGA169PA",Top,150.85,135.70,0,
"J13","Atmel Programmer Tag Connect",Top,134.80,130.92,90,
"J20","B4B-PH-SM4-TB",Top,223.79,99.55,180,
"D9","BAT54",Top,274.08,135.16,180,
"U17","BD50C0AFP-CE2",Top,232.24,117.85,180,
"L1","BMB2A0600BN3",Top,137.77,176.28,270,
"L2","BMB2A0600BN3",Top,241.55,114.71,270,
"L3","BMB2A0600BN3",Top,132.83,56.48,0,
"J7","BoxHeader34",Top,281.73,159.10,180,
"U20","Budgie_391425",Top,137.56,95.01,90,
"J22","Compact Flash Socket",Top,15.49,52.50,270,
"J5","DB-23",Top,291.80,180.98,0,
"J24","Edge150_1.27mm",Top,251.65,51.70,0,
"C14","EEHZK1V101XP",Top,211.88,157.50,0,
"C21","EEHZK1V101XP",Top,211.69,149.98,0,
"J17","FanHeader",Top,288.63,113.07,0,
"J18","FanHeader",Top,299.87,113.10,0,
"U21","gal16V8-15_SOCKET",Top,169.82,86.42,0,
"U7","H11F1SM",Top,250.68,154.33,90,
"U9","H11F1SM",Top,253.55,143.80,90,
"J23","Header 44P TH 2mm",Top,45.79,53.77,90,
"Q10","IPB110P06LMATMA1",Top,34.54,81.93,180,
"Q1","IRLML0060TRPBF",Top,208.05,166.00,0,
"Q2","IRLML0060TRPBF",Top,263.87,152.83,90,
"Q7","IRLML0060TRPBF",Top,184.61,100.96,270,
"Q8","IRLML0060TRPBF",Top,180.24,101.48,90,
"Q9","IRLML0060TRPBF",Top,169.17,99.64,45,
"Q11","IRLML0060TRPBF",Top,164.68,100.69,90,
"PSU1","IRM-30-5",Top,36.92,108.80,180,
"JP1","Jumper3P",Top,149.86,30.12,0,
"JP2","Jumper3P",Top,26.71,23.08,0,
"JP3","Jumper3P",Top,114.49,23.41,90,
"JP4","Jumper3P",Top,242.42,91.17,90,
"D10","KP-2012MGC",Top,168.58,118.12,0,
"D11","KP-2012MGC",Top,168.63,112.79,0,
"U16","Lisa_4203",Top,93.00,116.96,180,
"J9","M55-7104042R",Top,314.55,155.28,90,
"J14","M55-7104042R",Top,314.55,124.01,90,
"C5","NFM21PC104",Top,262.29,169.59,0,
"C7","NFM21PC104",Top,270.82,169.58,0,
"C10","NFM21PC104",Top,228.82,157.39,0,
"C26","NFM21PC104",Top,275.13,148.75,180,
"C27","NFM21PC104",Top,144.85,147.03,270,
"C28","NFM21PC104",Top,154.44,146.93,270,
"C32","NFM21PC104",Top,269.04,136.03,270,
