Name,Value,Desc,Mfr,Part Number,Footprint,
C30,"1µF/50V","1µF/50V Ceramic Capacitor 0805","Murata","GRM21BR71H105KA12L","C0805",
C15,"4.7µF/100V","4.7µF/100V Ceramic Capacitor 0805","AVX","12061Z475KAT2A","C0805",
C16,"4.7µF/100V","4.7µF/100V Ceramic Capacitor 0805","AVX","12061Z475KAT2A","C0805",
C17,"4.7µF/100V","4.7µF/100V Ceramic Capacitor 0805","AVX","12061Z475KAT2A","C0805",
C4,"10µF/16V","10µF/16V Ceramic Capacitor 0805","Murata","GRM219R61C106KA73D","C0805",
C5,"10µF/16V","10µF/16V Ceramic Capacitor 0805","Murata","GRM219R61C106KA73D","C0805",
C24,"10µF/16V","10µF/16V Ceramic Capacitor 0805","Murata","GRM219R61C106KA73D","C0805",
C6,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C7,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C8,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C9,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C10,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C11,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C14,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C18,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C19,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C20,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C21,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C22,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C23,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C25,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C26,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C27,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C29,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C32,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C33,"100 nF","3 Pin Capacitor","Murata","NFM21PC104R1E3D","NFM21",
C1,"100nF/50V","100nF/50V Ceramic Capacitor 0805","AVX","08055C104KAZ2A","C0805",
C2,"100nF/50V","100nF/50V Ceramic Capacitor 0805","AVX","08055C104KAZ2A","C0805",
C28,"100nF/50V","100nF/50V Ceramic Capacitor 0805","AVX","08055C104KAZ2A","C0805",
